"NumeroExpedient","CodiDistricte","DiaSetmana","Any","MesAny","NomMes","DiaMes","HoraDia","NumeroMorts","NumeroLesionatsLleus","NumeroLesionatsGreus","NumeroVictimes","NumeroVehiclesImplicats","CoordenadaUTM_X","CoordenadaUTM_Y"
"2014S000734","2","Dj",2014,1,"Gener",30,22,0,1,0,1,2,429552,4581502
"2014S005312","2","Dj",2014,7,"Juliol",17,18,0,1,0,1,2,429756,4581683
"2014S002804","2","Dl",2014,4,"Abril",14,15,0,3,0,3,2,430025,4581425
"2014S007796","2","Dl",2014,10,"Octubre",27,2,0,1,0,1,2,429973,4581507
"2014S002594","2","Dl",2014,4,"Abril",7,19,0,1,0,1,2,429964,4581516
"2014S000826","2","Dl",2014,2,"Febrer",3,21,0,1,0,1,2,429650,4581595
"2014S007953","2","Dv",2014,10,"Octubre",31,11,0,1,0,1,2,429862,4581390
"2014S002427","2","Dc",2014,4,"Abril",2,11,0,1,0,1,2,428489,4582251
"2014S002165","2","Dl",2014,3,"Marc",24,19,0,0,1,1,2,429738,4581360
"2014S001487","2","Dj",2014,2,"Febrer",27,16,0,1,0,1,2,428881,4582191
"2014S008966","2","Dv",2014,12,"Desembre",5,19,0,0,0,0,3,429774,4581537
"2014S007540","2","Ds",2014,10,"Octubre",18,15,0,2,0,2,2,428611,4582527
"2014S004570","2","Dv",2014,6,"Juny",20,12,0,1,0,1,2,428732,4582459
"2014S002439","2","Dc",2014,4,"Abril",2,16,0,2,0,2,2,429840,4581782
"2014S002315","2","Ds",2014,3,"Marc",29,12,0,1,0,1,2,429877,4581823
"2014S009686","2","Dc",2014,12,"Desembre",31,16,0,2,0,2,2,429949,4581738
"2014S006662","2","Dc",2014,9,"Setembre",17,12,0,1,0,1,2,428842,4582566
"2014S000330","2","Dc",2014,1,"Gener",15,17,0,1,0,1,3,430221,4581076
"2014S004374","2","Dv",2014,6,"Juny",13,20,0,1,0,1,2,428572,4581925
